Airline,Source,Destination,Total_Stops,Month_of_Journey,Day_of_Journey,Duration_in_minute,Price
SpiceJet,Delhi,Cochin,1 stop,4,24,380,5583
Jet Airways,Kolkata,Banglore,1 stop,5,24,450,9663
Air India,Kolkata,Banglore,2 stops,5,18,955,11668
Jet Airways,Banglore,Delhi,non-stop,3,5,185,6144
SpiceJet,Mumbai,Hyderabad,non-stop,6,6,90,2017
Jet Airways,Mumbai,Hyderabad,non-stop,6,21,90,5678
Jet Airways,Banglore,Delhi,non-stop,9,6,180,7229
SpiceJet,Chennai,Kolkata,non-stop,6,21,135,3543
Multiple carriers,Delhi,Cochin,1 stop,6,3,465,7563
Jet Airways,Delhi,Cochin,2 stops,6,24,1525,13922
Air India,Delhi,Cochin,2 stops,5,15,1470,13307
Jet Airways,Kolkata,Banglore,1 stop,1,5,800,14781
IndiGo,Banglore,New Delhi,non-stop,9,3,170,8033
Jet Airways,Kolkata,Banglore,1 stop,5,21,520,10844
Jet Airways,Kolkata,Banglore,1 stop,12,6,1495,8529
Jet Airways,Kolkata,Banglore,1 stop,3,24,590,8824
Jet Airways,Delhi,Cochin,1 stop,3,6,1395,14714
SpiceJet,Banglore,Delhi,non-stop,4,27,160,4423
IndiGo,Delhi,Cochin,1 stop,3,21,845,7318
Jet Airways,Delhi,Cochin,2 stops,1,6,1375,13014
Jet Airways,Delhi,Cochin,1 stop,1,6,715,15190
IndiGo,Delhi,Cochin,1 stop,5,27,665,6600
Jet Airways,Delhi,Cochin,1 stop,3,6,865,10262
Vistara,Banglore,Delhi,non-stop,9,4,170,5403
Air Asia,Banglore,Delhi,non-stop,9,6,170,8420
Air India,Kolkata,Banglore,1 stop,3,24,745,12173
SpiceJet,Mumbai,Hyderabad,non-stop,1,6,90,2753
Multiple carriers,Delhi,Cochin,1 stop,9,6,910,12192
Jet Airways,Kolkata,Banglore,1 stop,12,5,865,14388
IndiGo,Delhi,Cochin,1 stop,6,15,415,5883
Jet Airways,Kolkata,Banglore,1 stop,5,18,575,13067
IndiGo,Chennai,Kolkata,non-stop,5,15,140,3850
Jet Airways,Delhi,Cochin,1 stop,9,5,620,12373
IndiGo,Kolkata,Banglore,non-stop,3,27,165,4148
Jet Airways,Delhi,Cochin,1 stop,6,6,745,10262
SpiceJet,Banglore,Delhi,non-stop,6,6,175,3257
IndiGo,Delhi,Cochin,1 stop,3,3,570,9027
Multiple carriers,Delhi,Cochin,1 stop,3,21,375,14486
Jet Airways,Delhi,Cochin,2 stops,5,27,1375,15129
IndiGo,Banglore,Delhi,non-stop,6,5,170,3943
Multiple carriers,Delhi,Cochin,1 stop,12,6,390,7198
IndiGo,Banglore,New Delhi,non-stop,3,21,165,4944
SpiceJet,Banglore,Delhi,non-stop,4,24,175,3625
Jet Airways,Kolkata,Banglore,1 stop,1,5,685,14781
IndiGo,Kolkata,Banglore,1 stop,5,18,295,12198
Air India,Banglore,New Delhi,1 stop,3,24,385,7932
SpiceJet,Kolkata,Banglore,non-stop,3,5,145,3873
Jet Airways,Mumbai,Hyderabad,non-stop,5,15,85,5678
IndiGo,Banglore,Delhi,non-stop,5,15,170,3943
Jet Airways,Kolkata,Banglore,1 stop,9,5,1495,9663
Jet Airways,Delhi,Cochin,2 stops,3,21,2240,12341
Jet Airways,Delhi,Cochin,1 stop,6,15,300,10262
IndiGo,Delhi,Cochin,1 stop,6,6,380,6938
Air India,Mumbai,Hyderabad,1 stop,6,3,965,10366
IndiGo,Banglore,New Delhi,non-stop,3,15,165,5694
Jet Airways,Mumbai,Hyderabad,non-stop,5,24,85,4995
GoAir,Delhi,Cochin,1 stop,4,24,370,4692
SpiceJet,Kolkata,Banglore,non-stop,6,24,150,3841
Air India,Banglore,New Delhi,2 stops,1,3,435,17461
Jet Airways,Banglore,New Delhi,1 stop,1,3,435,26890
Jet Airways,Banglore,New Delhi,1 stop,3,18,365,13555
Jet Airways,Kolkata,Banglore,1 stop,12,6,665,8529
Jet Airways,Kolkata,Banglore,1 stop,9,5,1690,13584
IndiGo,Chennai,Kolkata,non-stop,1,5,140,3850
Jet Airways,Delhi,Cochin,2 stops,1,6,1090,14237
SpiceJet,Kolkata,Banglore,non-stop,6,15,155,3873
IndiGo,Banglore,Delhi,non-stop,9,6,180,3943
GoAir,Banglore,Delhi,non-stop,6,18,165,3419
SpiceJet,Banglore,Delhi,non-stop,6,21,170,3625
IndiGo,Banglore,Delhi,non-stop,5,27,165,4423
Jet Airways,Delhi,Cochin,2 stops,9,5,1615,13029
Multiple carriers,Delhi,Cochin,1 stop,6,15,750,13377
Multiple carriers,Delhi,Cochin,1 stop,6,3,485,17057
Air India,Delhi,Cochin,2 stops,3,21,1180,9706
Jet Airways,Kolkata,Banglore,1 stop,5,18,1540,14151
IndiGo,Chennai,Kolkata,non-stop,12,5,140,5277
Jet Airways,Delhi,Cochin,1 stop,6,24,745,10262
Multiple carriers Premium economy,Delhi,Cochin,1 stop,3,21,395,11269
SpiceJet,Delhi,Cochin,1 stop,3,21,360,5511
Jet Airways,Banglore,New Delhi,1 stop,1,3,625,26890
IndiGo,Delhi,Cochin,1 stop,6,24,415,5883
SpiceJet,Banglore,Delhi,non-stop,1,4,170,3919
Jet Airways,Kolkata,Banglore,1 stop,3,24,1210,14231
SpiceJet,Kolkata,Banglore,non-stop,3,18,160,4413
Jet Airways,Delhi,Cochin,2 stops,5,21,1025,13029
Multiple carriers,Delhi,Cochin,1 stop,12,6,760,6795
Jet Airways,Kolkata,Banglore,1 stop,3,24,540,10031
Multiple carriers,Delhi,Cochin,1 stop,6,6,735,7740
Air India,Kolkata,Banglore,2 stops,9,6,1700,11542
Multiple carriers,Delhi,Cochin,1 stop,9,4,440,8323
Vistara,Banglore,New Delhi,non-stop,3,15,160,6138
Vistara,Banglore,Delhi,non-stop,12,5,170,4668
Jet Airways,Delhi,Cochin,1 stop,3,27,550,12242
SpiceJet,Banglore,New Delhi,non-stop,3,24,170,3873
Jet Airways,Banglore,Delhi,non-stop,9,5,180,3502
Jet Airways,Delhi,Cochin,1 stop,3,6,865,14714
SpiceJet,Mumbai,Hyderabad,non-stop,5,15,90,2175
GoAir,Delhi,Cochin,1 stop,9,6,460,5199
Air India,Chennai,Kolkata,non-stop,3,3,135,10810
Jet Airways,Kolkata,Banglore,1 stop,5,21,1480,14151
Multiple carriers,Delhi,Cochin,1 stop,5,27,480,13587
IndiGo,Chennai,Kolkata,non-stop,12,6,140,3597
Jet Airways,Delhi,Cochin,2 stops,6,6,1375,10368
IndiGo,Delhi,Cochin,1 stop,9,6,305,5458
Multiple carriers,Delhi,Cochin,1 stop,6,27,930,13377
SpiceJet,Chennai,Kolkata,non-stop,3,15,135,6300
Jet Airways,Kolkata,Banglore,1 stop,1,5,1500,9314
IndiGo,Kolkata,Banglore,non-stop,12,4,155,4174
Air India,Banglore,Delhi,non-stop,6,18,170,5228
Jet Airways,Kolkata,Banglore,1 stop,12,6,330,13626
SpiceJet,Kolkata,Banglore,non-stop,6,3,160,3850
Jet Airways,Delhi,Cochin,non-stop,6,15,195,7202
Jet Airways,Delhi,Cochin,2 stops,6,24,1630,13882
IndiGo,Mumbai,Hyderabad,non-stop,3,24,85,2754
Jet Airways,Banglore,Delhi,non-stop,5,15,180,7229
Air India,Banglore,New Delhi,1 stop,9,3,920,8425
Multiple carriers,Delhi,Cochin,1 stop,6,15,390,7408
Multiple carriers,Delhi,Cochin,1 stop,3,6,910,12192
Multiple carriers,Delhi,Cochin,1 stop,5,27,780,7618
Air India,Banglore,New Delhi,2 stops,3,3,920,11570
Jet Airways,Delhi,Cochin,1 stop,5,27,1105,12898
Air India,Delhi,Cochin,2 stops,9,5,1600,11281
IndiGo,Delhi,Cochin,1 stop,5,15,635,6442
Jet Airways,Banglore,Delhi,non-stop,6,5,175,7229
Jet Airways,Kolkata,Banglore,1 stop,9,6,590,10844
Air India,Delhi,Cochin,2 stops,5,21,1420,10975
Jet Airways,Banglore,New Delhi,1 stop,3,3,1400,11087
Jet Airways,Banglore,Delhi,non-stop,1,4,180,4544
SpiceJet,Delhi,Cochin,1 stop,3,21,270,6356
Air India,Banglore,New Delhi,2 stops,3,18,2025,10835
Jet Airways,Delhi,Cochin,2 stops,3,21,1735,8728
IndiGo,Delhi,Cochin,1 stop,12,6,305,5058
Air India,Kolkata,Banglore,2 stops,5,24,1385,15170
SpiceJet,Kolkata,Banglore,non-stop,3,18,160,4465
IndiGo,Kolkata,Banglore,non-stop,12,6,155,4804
Air India,Delhi,Cochin,2 stops,3,27,865,8367
Jet Airways,Delhi,Cochin,1 stop,9,6,335,14714
Multiple carriers,Delhi,Cochin,1 stop,6,15,720,13587
Jet Airways,Delhi,Cochin,1 stop,6,15,1355,10262
Jet Airways,Banglore,Delhi,non-stop,4,15,175,4544
Jet Airways,Delhi,Cochin,2 stops,12,6,1300,13376
Vistara,Chennai,Kolkata,non-stop,12,6,135,3687
Jet Airways,Mumbai,Hyderabad,non-stop,6,21,90,4995
Jet Airways,Banglore,Delhi,non-stop,12,5,180,7229
Jet Airways,Kolkata,Banglore,1 stop,1,5,510,10844
Jet Airways,Kolkata,Banglore,1 stop,3,24,1345,10031
SpiceJet,Mumbai,Hyderabad,non-stop,6,21,90,2017
Air India,Delhi,Cochin,2 stops,3,6,1420,10975
Air India,Delhi,Cochin,2 stops,6,24,1595,9443
Jet Airways,Delhi,Cochin,1 stop,6,24,395,14714
Jet Airways,Kolkata,Banglore,1 stop,6,5,665,7757
Air Asia,Banglore,New Delhi,non-stop,3,3,170,7652
Multiple carriers,Delhi,Cochin,1 stop,6,3,780,15078
Air Asia,Banglore,Delhi,non-stop,4,24,170,3383
Air India,Banglore,New Delhi,1 stop,1,3,855,12704
Air Asia,Kolkata,Banglore,non-stop,6,3,150,4384
Jet Airways,Delhi,Cochin,2 stops,5,21,1375,15129
Air India,Kolkata,Banglore,2 stops,9,6,1345,12744
Vistara,Banglore,Delhi,non-stop,1,6,170,4878
IndiGo,Mumbai,Hyderabad,non-stop,5,27,90,4049
Air India,Kolkata,Banglore,2 stops,1,5,1035,15164
SpiceJet,Mumbai,Hyderabad,non-stop,9,5,90,1965
Jet Airways,Banglore,New Delhi,1 stop,12,3,810,11087
IndiGo,Mumbai,Hyderabad,non-stop,3,18,85,3342
Jet Airways,Delhi,Cochin,1 stop,6,27,1325,10262
SpiceJet,Kolkata,Banglore,non-stop,1,6,145,4174
Jet Airways,Banglore,New Delhi,1 stop,1,3,890,31825
Jet Airways,Delhi,Cochin,1 stop,5,18,330,12373
Air India,Banglore,New Delhi,1 stop,9,3,640,8767
Jet Airways,Delhi,Cochin,1 stop,1,6,1040,10262
Air India,Kolkata,Banglore,1 stop,12,5,1185,10203
IndiGo,Delhi,Cochin,1 stop,6,27,295,6496
Vistara,Banglore,Delhi,non-stop,12,6,165,4878
Jet Airways,Banglore,New Delhi,1 stop,1,3,800,27992
IndiGo,Banglore,Delhi,non-stop,6,24,170,4823
Multiple carriers,Delhi,Cochin,1 stop,6,27,455,6093
Jet Airways,Kolkata,Banglore,1 stop,1,5,1285,9314
Air India,Delhi,Cochin,1 stop,3,4,1590,5022
Air India,Banglore,Delhi,non-stop,4,21,165,5228
Jet Airways,Delhi,Cochin,1 stop,3,6,360,14714
Air Asia,Delhi,Cochin,1 stop,3,27,865,6151
GoAir,Banglore,Delhi,non-stop,1,6,175,5048
Jet Airways,Banglore,Delhi,non-stop,6,27,180,8016
Multiple carriers,Delhi,Cochin,1 stop,3,21,665,13961
SpiceJet,Mumbai,Hyderabad,non-stop,6,15,90,2017
SpiceJet,Delhi,Cochin,1 stop,4,24,295,4957
Multiple carriers,Delhi,Cochin,2 stops,3,3,495,11966
SpiceJet,Delhi,Cochin,1 stop,6,27,270,4812
SpiceJet,Chennai,Kolkata,non-stop,5,24,135,3543
Multiple carriers,Delhi,Cochin,1 stop,6,6,615,12524
Air India,Kolkata,Banglore,2 stops,1,5,875,10991
Air India,Banglore,Delhi,non-stop,3,6,165,6961
SpiceJet,Mumbai,Hyderabad,non-stop,1,5,90,2385
Air India,Delhi,Cochin,2 stops,12,6,1600,10231
IndiGo,Delhi,Cochin,1 stop,6,6,305,5054
Jet Airways,Kolkata,Banglore,1 stop,9,5,875,13941
Jet Airways,Delhi,Cochin,1 stop,6,27,540,14714
Jet Airways,Banglore,Delhi,non-stop,5,21,180,7229
SpiceJet,Kolkata,Banglore,non-stop,3,6,150,3873
Jet Airways,Delhi,Cochin,2 stops,9,5,1025,13029
Multiple carriers,Delhi,Cochin,1 stop,5,27,640,7005
Air Asia,Kolkata,Banglore,1 stop,6,6,215,6857
Multiple carriers,Delhi,Cochin,1 stop,6,15,455,9526
Multiple carriers,Delhi,Cochin,1 stop,6,27,615,5797
Air India,Delhi,Cochin,2 stops,6,24,1490,13381
Jet Airways,Banglore,Delhi,non-stop,4,27,180,7229
Jet Airways,Delhi,Cochin,2 stops,9,6,1375,10368
Air India,Delhi,Cochin,1 stop,6,27,1420,7480
SpiceJet,Kolkata,Banglore,non-stop,5,15,155,3873
Jet Airways,Delhi,Cochin,1 stop,6,15,360,10262
Air India,Delhi,Cochin,2 stops,9,5,1420,9925
IndiGo,Delhi,Cochin,2 stops,3,21,825,6494
IndiGo,Banglore,Delhi,non-stop,5,24,175,4823
Jet Airways,Delhi,Cochin,1 stop,3,27,320,7438
IndiGo,Kolkata,Banglore,non-stop,4,27,155,4804
IndiGo,Kolkata,Banglore,1 stop,5,15,280,5386
GoAir,Banglore,Delhi,non-stop,6,21,170,3398
Jet Airways,Kolkata,Banglore,1 stop,3,24,1220,10031
IndiGo,Kolkata,Banglore,non-stop,9,3,165,4462
Vistara,Kolkata,Banglore,1 stop,6,6,975,8610
Jet Airways,Mumbai,Hyderabad,non-stop,1,6,90,5678
Air India,Delhi,Cochin,1 stop,6,6,675,8372
Jet Airways,Delhi,Cochin,1 stop,9,5,1355,12373
IndiGo,Chennai,Kolkata,non-stop,6,27,145,3540
IndiGo,Delhi,Cochin,1 stop,5,21,345,7189
Multiple carriers,Delhi,Cochin,1 stop,3,3,915,15147
Multiple carriers,Delhi,Cochin,2 stops,6,3,855,7084
Jet Airways,Mumbai,Hyderabad,non-stop,9,5,90,4995
Jet Airways,Delhi,Cochin,2 stops,3,6,425,14441
IndiGo,Banglore,Delhi,non-stop,5,15,170,4823
Jet Airways,Banglore,New Delhi,1 stop,6,3,665,16736
IndiGo,Kolkata,Banglore,1 stop,5,15,325,6218
IndiGo,Delhi,Cochin,1 stop,4,24,275,5073
Jet Airways,Delhi,Cochin,1 stop,6,6,620,10262
SpiceJet,Mumbai,Hyderabad,non-stop,5,18,90,1965
Jet Airways,Delhi,Cochin,2 stops,3,3,2245,18799
Vistara,Delhi,Cochin,non-stop,1,6,190,6741
GoAir,Banglore,Delhi,non-stop,5,18,165,4632
Jet Airways,Kolkata,Banglore,1 stop,1,5,1200,13941
Jet Airways,Delhi,Cochin,non-stop,4,18,195,5443
Jet Airways,Kolkata,Banglore,1 stop,5,21,450,8586
Jet Airways,Delhi,Cochin,1 stop,3,27,1440,5963
GoAir,Banglore,Delhi,non-stop,6,5,165,3419
Air India,Mumbai,Hyderabad,non-stop,1,5,75,3100
Jet Airways,Delhi,Cochin,1 stop,9,6,520,10577
Jet Airways,Kolkata,Banglore,1 stop,5,21,800,14781
SpiceJet,Kolkata,Banglore,non-stop,4,15,155,3873
Air India,Delhi,Cochin,1 stop,1,6,795,8907
Jet Airways,Delhi,Cochin,1 stop,5,18,1415,12373
Jet Airways,Delhi,Cochin,2 stops,5,27,1760,16704
GoAir,Delhi,Cochin,1 stop,12,6,370,5842
Jet Airways,Delhi,Cochin,1 stop,5,27,360,16079
SpiceJet,Banglore,New Delhi,1 stop,3,15,475,10341
IndiGo,Delhi,Cochin,1 stop,6,3,425,14871
Jet Airways,Kolkata,Banglore,1 stop,12,5,400,14781
IndiGo,Delhi,Cochin,1 stop,3,27,355,7731
Air India,Banglore,Delhi,non-stop,6,5,165,5228
GoAir,Banglore,New Delhi,non-stop,3,3,175,7646
Air India,Kolkata,Banglore,2 stops,5,24,1700,12592
IndiGo,Delhi,Cochin,1 stop,3,27,420,8574
SpiceJet,Delhi,Cochin,1 stop,6,6,270,5158
IndiGo,Kolkata,Banglore,non-stop,6,18,165,4804
Jet Airways,Delhi,Cochin,1 stop,6,6,1425,14714
IndiGo,Delhi,Cochin,1 stop,6,15,315,6582
Jet Airways,Delhi,Cochin,1 stop,3,27,535,5963
Air India,Mumbai,Hyderabad,non-stop,5,27,90,3625
Vistara,Kolkata,Banglore,1 stop,6,6,1065,9187
Air India,Kolkata,Banglore,2 stops,3,24,2480,13990
Jet Airways,Kolkata,Banglore,1 stop,5,21,800,10844
Air Asia,Banglore,Delhi,non-stop,12,6,165,3383
IndiGo,Mumbai,Hyderabad,non-stop,5,27,90,2754
IndiGo,Delhi,Cochin,1 stop,4,27,275,5073
SpiceJet,Kolkata,Banglore,non-stop,5,24,140,3841
Air India,Delhi,Cochin,1 stop,6,27,765,7480
Jet Airways,Kolkata,Banglore,1 stop,5,15,855,14781
Air India,Kolkata,Banglore,1 stop,1,5,625,10203
Jet Airways,Delhi,Cochin,1 stop,6,27,1505,10262
Jet Airways,Kolkata,Banglore,1 stop,5,18,1590,8586
SpiceJet,Delhi,Cochin,1 stop,3,6,315,5583
SpiceJet,Chennai,Kolkata,non-stop,9,6,135,3543
Air India,Kolkata,Banglore,2 stops,6,5,445,7662
Jet Airways,Kolkata,Banglore,1 stop,9,6,585,14178
Air India,Banglore,New Delhi,1 stop,3,3,410,11654
Multiple carriers,Delhi,Cochin,1 stop,6,15,490,7005
Air India,Kolkata,Banglore,2 stops,12,6,1555,6117
Air India,Delhi,Cochin,2 stops,6,24,1580,11185
Jet Airways,Delhi,Cochin,1 stop,3,27,655,12242
Vistara,Kolkata,Banglore,1 stop,5,18,1440,9555
Jet Airways,Kolkata,Banglore,1 stop,5,15,1285,9314
IndiGo,Delhi,Cochin,1 stop,5,21,975,7318
Jet Airways,Kolkata,Banglore,1 stop,9,6,1005,14151
Jet Airways,Delhi,Cochin,1 stop,5,18,450,12373
IndiGo,Delhi,Cochin,1 stop,5,21,575,6442
Air Asia,Delhi,Cochin,1 stop,5,18,625,7452
IndiGo,Kolkata,Banglore,non-stop,1,6,150,6064
Jet Airways,Banglore,Delhi,non-stop,6,4,180,7229
Multiple carriers,Delhi,Cochin,1 stop,6,27,600,8099
Multiple carriers,Delhi,Cochin,1 stop,5,18,490,7670
Air India,Delhi,Cochin,2 stops,5,15,1490,14431
Jet Airways,Banglore,New Delhi,1 stop,6,3,805,16736
IndiGo,Mumbai,Hyderabad,non-stop,3,21,90,3603
Multiple carriers,Delhi,Cochin,2 stops,5,21,625,16655
Jet Airways,Kolkata,Banglore,1 stop,6,5,1120,13067
IndiGo,Kolkata,Banglore,non-stop,5,24,155,4804
Air India,Kolkata,Banglore,2 stops,1,4,1660,9920
Air India,Delhi,Cochin,1 stop,6,27,1535,6587
Jet Airways,Kolkata,Banglore,1 stop,5,21,1430,10844
Multiple carriers,Delhi,Cochin,1 stop,5,15,780,9794
Jet Airways,Banglore,Delhi,non-stop,4,27,185,4544
Jet Airways,Banglore,Delhi,non-stop,5,24,180,7229
Vistara,Kolkata,Banglore,1 stop,12,6,1440,8085
Multiple carriers,Delhi,Cochin,1 stop,6,24,645,7354
IndiGo,Banglore,Delhi,non-stop,12,5,170,4284
Jet Airways,Delhi,Cochin,1 stop,6,15,600,14714
IndiGo,Kolkata,Banglore,1 stop,6,5,220,4226
Vistara,Banglore,Delhi,non-stop,9,5,160,4668
Air India,Kolkata,Banglore,1 stop,3,24,1540,7742
Jet Airways,Kolkata,Banglore,1 stop,9,5,1005,12121
Jet Airways,Kolkata,Banglore,1 stop,3,24,1260,10031
Air Asia,Kolkata,Banglore,non-stop,3,4,150,3807
Jet Airways,Delhi,Cochin,1 stop,1,6,865,14714
Jet Airways,Delhi,Cochin,2 stops,6,27,1045,15339
Jet Airways,Kolkata,Banglore,1 stop,3,24,1025,14231
Jet Airways,Banglore,New Delhi,non-stop,9,3,160,7229
Air India,Kolkata,Banglore,2 stops,9,5,765,11432
Air India,Kolkata,Banglore,2 stops,3,24,955,11853
SpiceJet,Mumbai,Hyderabad,non-stop,5,24,90,2017
Jet Airways,Banglore,New Delhi,1 stop,12,3,1100,11087
Air India,Delhi,Cochin,2 stops,6,24,1180,9548
Jet Airways,Kolkata,Banglore,1 stop,3,24,1395,14231
IndiGo,Delhi,Cochin,1 stop,9,3,425,6171
Multiple carriers,Delhi,Cochin,1 stop,1,6,535,9526
Jet Airways,Delhi,Cochin,2 stops,3,3,1365,19266
Jet Airways,Delhi,Cochin,2 stops,9,5,1375,13029
Air India,Kolkata,Banglore,1 stop,1,5,1350,8366
IndiGo,Banglore,Delhi,non-stop,6,5,175,4823
IndiGo,Banglore,New Delhi,1 stop,3,21,285,6208
Multiple carriers,Delhi,Cochin,1 stop,5,15,780,13937
Air Asia,Banglore,Delhi,non-stop,12,4,170,4282
Multiple carriers,Delhi,Cochin,1 stop,6,24,730,15058
Multiple carriers,Delhi,Cochin,1 stop,6,15,720,7933
SpiceJet,Kolkata,Banglore,non-stop,1,6,150,3841
Air India,Delhi,Cochin,2 stops,6,3,2170,11552
Air India,Delhi,Cochin,2 stops,6,3,800,13748
Jet Airways,Kolkata,Banglore,1 stop,12,6,450,7594
Multiple carriers,Delhi,Cochin,1 stop,9,5,900,7670
Air India,Delhi,Cochin,2 stops,9,5,1380,13591
IndiGo,Mumbai,Hyderabad,non-stop,6,15,90,2754
Air India,Banglore,New Delhi,1 stop,3,3,700,11444
Jet Airways,Kolkata,Banglore,1 stop,6,5,1570,13067
IndiGo,Delhi,Cochin,1 stop,6,27,940,6442
Air India,Kolkata,Banglore,2 stops,5,24,1505,12797
Multiple carriers,Delhi,Cochin,1 stop,5,15,840,13727
Jet Airways,Delhi,Cochin,1 stop,5,18,1505,12373
Air India,Kolkata,Banglore,2 stops,9,6,1345,12534
Jet Airways,Kolkata,Banglore,1 stop,5,15,570,8586
Jet Airways,Kolkata,Banglore,1 stop,6,5,400,9663
SpiceJet,Chennai,Kolkata,non-stop,3,21,155,3384
Jet Airways,Delhi,Cochin,2 stops,6,27,1620,13292
SpiceJet,Delhi,Cochin,1 stop,4,27,295,4957
Air India,Kolkata,Banglore,1 stop,1,4,1110,7893
Jet Airways,Kolkata,Banglore,1 stop,5,24,590,10844
Jet Airways,Banglore,Delhi,non-stop,6,4,180,7229
Jet Airways,Delhi,Cochin,2 stops,6,15,1125,10368
Multiple carriers,Delhi,Cochin,1 stop,5,27,690,11264
Jet Airways,Banglore,New Delhi,non-stop,9,3,160,8016
Air India,Delhi,Cochin,2 stops,6,6,1245,11753
Vistara,Chennai,Kolkata,non-stop,1,6,140,11982
Jet Airways,Banglore,Delhi,non-stop,6,24,175,5769
IndiGo,Banglore,New Delhi,1 stop,1,3,285,13302
Jet Airways,Delhi,Cochin,2 stops,6,6,1295,13292
Air India,Delhi,Cochin,2 stops,9,3,2295,10598
Jet Airways,Banglore,Delhi,non-stop,3,6,180,8016
Jet Airways,Delhi,Cochin,2 stops,5,21,1620,12719
Jet Airways,Kolkata,Banglore,1 stop,3,24,1410,10031
Jet Airways,Kolkata,Banglore,1 stop,6,5,690,10703
IndiGo,Banglore,Delhi,non-stop,6,18,170,3943
Jet Airways,Delhi,Cochin,1 stop,1,6,1425,10262
SpiceJet,Delhi,Cochin,1 stop,5,27,315,6749
Jet Airways,Delhi,Cochin,2 stops,5,27,1430,15129
IndiGo,Delhi,Cochin,1 stop,9,5,305,8177
Air India,Kolkata,Banglore,2 stops,5,21,920,13033
Air India,Mumbai,Hyderabad,non-stop,5,21,80,3100
Jet Airways,Delhi,Cochin,2 stops,1,6,440,18804
Multiple carriers,Delhi,Cochin,1 stop,3,6,930,9508
Multiple carriers,Delhi,Cochin,1 stop,6,3,535,15353
SpiceJet,Kolkata,Banglore,non-stop,4,27,140,3841
Jet Airways,Kolkata,Banglore,1 stop,5,21,1220,10844
Air Asia,Banglore,Delhi,non-stop,5,24,170,3383
Jet Airways,Delhi,Cochin,2 stops,9,3,750,19172
Jet Airways,Kolkata,Banglore,1 stop,12,6,840,12692
Multiple carriers,Delhi,Cochin,1 stop,5,15,390,8073
Jet Airways,Delhi,Cochin,1 stop,5,18,395,15554
Multiple carriers,Delhi,Cochin,1 stop,3,6,675,15058
Jet Airways,Delhi,Cochin,1 stop,9,5,330,15554
Jet Airways,Delhi,Cochin,1 stop,3,21,330,14053
Vistara,Banglore,Delhi,non-stop,1,4,160,5403
Air India,Delhi,Cochin,2 stops,5,21,1100,13538
Vistara,Kolkata,Banglore,1 stop,12,5,930,8662
IndiGo,Banglore,Delhi,non-stop,4,18,170,4823
Jet Airways,Banglore,Delhi,non-stop,6,24,175,8016
Air India,Delhi,Cochin,2 stops,3,21,1485,10703
Jet Airways,Delhi,Cochin,2 stops,12,6,1320,10919
Air India,Banglore,Delhi,non-stop,6,21,170,5228
IndiGo,Chennai,Kolkata,non-stop,3,3,140,7295
Jet Airways,Kolkata,Banglore,1 stop,1,5,665,14781
Air India,Kolkata,Banglore,2 stops,5,21,1195,10676
Jet Airways,Kolkata,Banglore,1 stop,5,18,1630,14151
SpiceJet,Kolkata,Banglore,1 stop,9,5,330,8224
Multiple carriers,Delhi,Cochin,1 stop,6,24,835,13797
IndiGo,Banglore,Delhi,non-stop,1,5,170,3943
Jet Airways,Kolkata,Banglore,1 stop,12,5,450,8586
Jet Airways,Delhi,Cochin,1 stop,6,15,1010,10262
IndiGo,Delhi,Cochin,1 stop,9,6,490,6938
Air India,Kolkata,Banglore,2 stops,3,24,1830,12835
Air India,Delhi,Cochin,2 stops,9,6,865,12199
Jet Airways,Delhi,Cochin,2 stops,6,27,1390,11150
Jet Airways,Kolkata,Banglore,1 stop,9,6,890,10844
Vistara,Banglore,New Delhi,non-stop,3,15,165,6138
SpiceJet,Kolkata,Banglore,non-stop,5,27,145,3873
Jet Airways,Banglore,Delhi,non-stop,12,4,180,7229
Jet Airways,Kolkata,Banglore,1 stop,12,5,505,14151
Multiple carriers,Delhi,Cochin,1 stop,5,18,395,9794
Jet Airways,Kolkata,Banglore,1 stop,12,6,750,10539
Multiple carriers,Delhi,Cochin,1 stop,6,15,535,9526
Jet Airways,Mumbai,Hyderabad,non-stop,3,4,85,8040
IndiGo,Delhi,Cochin,1 stop,6,24,500,5684
IndiGo,Mumbai,Hyderabad,non-stop,9,6,90,4049
Air Asia,Kolkata,Banglore,non-stop,6,21,150,3807
Jet Airways,Kolkata,Banglore,1 stop,3,24,1495,13759
IndiGo,Mumbai,Hyderabad,non-stop,3,21,90,3175
Air India,Delhi,Cochin,2 stops,5,27,1485,12488
Multiple carriers,Delhi,Cochin,1 stop,5,27,470,8625
Jet Airways,Kolkata,Banglore,1 stop,9,6,1450,14151
Air India,Delhi,Cochin,2 stops,6,27,1180,9653
Vistara,Kolkata,Banglore,1 stop,9,5,865,8452
SpiceJet,Banglore,New Delhi,non-stop,9,3,170,5126
IndiGo,Kolkata,Banglore,non-stop,12,4,155,4174
Jet Airways,Kolkata,Banglore,1 stop,12,6,520,12576
Multiple carriers,Delhi,Cochin,1 stop,5,18,480,9385
Jet Airways,Kolkata,Banglore,1 stop,9,6,665,11841
Vistara,Kolkata,Banglore,1 stop,5,24,1555,9502
Vistara,Kolkata,Banglore,1 stop,5,15,975,9345
Jet Airways,Delhi,Cochin,1 stop,9,6,1505,10262
Air India,Delhi,Cochin,2 stops,6,6,1275,10441
Multiple carriers,Delhi,Cochin,1 stop,5,27,835,10406
IndiGo,Banglore,New Delhi,non-stop,9,3,170,7648
Jet Airways,Delhi,Cochin,1 stop,5,21,540,16079
